bri,mired,watt
1,153,1.22
1,163,2.22
1,173,2.26
1,183,2.35
1,193,2.24
1,203,2.26
1,213,2.24
1,223,2.25
1,233,2.28
1,243,2.31
1,253,2.26
1,263,2.26
1,273,2.25
1,283,2.29
1,293,2.27
1,303,2.27
1,313,2.27
1,323,2.26
1,333,2.26
1,343,2.23
1,353,2.25
1,363,2.3
1,370,2.25
6,153,2.25
6,163,2.24
6,173,2.24
6,183,2.28
6,193,2.27
6,203,2.27
6,213,2.22
6,223,2.26
6,233,2.24
6,243,2.25
6,253,2.27
6,263,2.27
6,273,2.26
6,283,2.25
6,293,2.28
6,303,2.24
6,313,2.26
6,323,2.29
6,333,2.24
6,343,2.27
6,353,2.27
6,363,2.25
6,370,2.23
11,153,2.45
11,163,2.48
11,173,2.47
11,183,2.48
11,193,2.45
11,203,2.46
11,213,2.42
11,223,2.44
11,233,2.47
11,243,2.48
11,253,2.49
11,263,2.51
11,273,2.48
11,283,2.44
11,293,2.46
11,303,2.47
11,313,2.45
11,323,2.47
11,333,2.47
11,343,2.5
11,353,2.47
11,363,2.46
11,370,2.48
16,153,2.78
16,163,2.76
16,173,2.77
16,183,2.76
16,193,2.78
16,203,2.71
16,213,2.74
16,223,2.78
16,233,2.77
16,243,2.74
16,253,2.75
16,263,2.75
16,273,2.76
16,283,2.75
16,293,2.74
16,303,2.77
16,313,2.76
16,323,2.78
16,333,2.75
16,343,2.73
16,353,2.75
16,363,2.76
16,370,2.75
21,153,3.03
21,163,3.01
21,173,3.04
21,183,2.99
21,193,3.03
21,203,3.02
21,213,3.03
21,223,3.03
21,233,3.02
21,243,3.02
21,253,3.04
21,263,3.05
21,273,3.0
21,283,3.03
21,293,3.06
21,303,3.03
21,313,3.04
21,323,3.03
21,333,3.05
21,343,3.07
21,353,3.02
21,363,3.05
21,370,3.03
26,153,3.35
26,163,3.33
26,173,3.29
26,183,3.39
26,193,3.34
26,203,3.31
26,213,3.34
26,223,3.31
26,233,3.35
26,243,3.34
26,253,3.31
26,263,3.36
26,273,3.34
26,283,3.34
26,293,3.36
26,303,3.31
26,313,3.35
26,323,3.35
26,333,3.35
26,343,3.31
26,353,3.3
26,363,3.34
26,370,3.34
31,153,3.66
31,163,3.61
31,173,3.61
31,183,3.61
31,193,3.64
31,203,3.61
31,213,3.62
31,223,3.63
31,233,3.63
31,243,3.65
31,253,3.61
31,263,3.61
31,273,3.64
31,283,3.61
31,293,3.59
31,303,3.66
31,313,3.67
31,323,3.67
31,333,3.66
31,343,3.63
31,353,3.65
31,363,3.63
31,370,3.63
36,153,3.96
36,163,3.94
36,173,3.94
36,183,3.96
36,193,3.92
36,203,3.92
36,213,3.97
36,223,3.94
36,233,3.94
36,243,3.95
36,253,3.94
36,263,3.96
36,273,3.92
36,283,3.91
36,293,3.93
36,303,3.93
36,313,3.89
36,323,3.91
36,333,3.93
36,343,3.94
36,353,3.96
36,363,3.99
36,370,3.92
41,153,4.06
41,163,4.25
41,173,4.26
41,183,4.24
41,193,4.22
41,203,4.24
41,213,4.23
41,223,4.22
41,233,4.24
41,243,4.18
41,253,4.26
41,263,4.23
41,273,4.26
41,283,4.25
41,293,4.21
41,303,4.22
41,313,4.22
41,323,4.29
41,333,4.21
41,343,4.27
41,353,4.24
41,363,4.22
41,370,4.24
46,153,4.51
46,163,4.53
46,173,4.5
46,183,4.51
46,193,4.51
46,203,4.49
46,213,4.53
46,223,4.51
46,233,4.52
46,243,4.54
46,253,4.54
46,263,4.48
46,273,4.51
46,283,4.53
46,293,4.54
46,303,4.5
46,313,4.49
46,323,4.52
46,333,4.51
46,343,4.52
46,353,4.51
46,363,4.51
46,370,4.54
51,153,4.81
51,163,4.76
51,173,4.81
51,183,4.79
51,193,4.83
51,203,4.77
51,213,4.81
51,223,4.79
51,233,4.83
51,243,4.84
51,253,4.82
51,263,4.81
51,273,4.79
51,283,4.81
51,293,4.81
51,303,4.83
51,313,4.81
51,323,4.8
51,333,4.81
51,343,4.83
51,353,4.83
51,363,4.82
51,370,4.83
56,153,5.14
56,163,5.09
56,173,5.12
56,183,5.11
56,193,5.11
56,203,5.12
56,213,5.1
56,223,5.1
56,233,5.11
56,243,5.07
56,253,5.1
56,263,5.09
56,273,5.13
56,283,5.11
56,293,5.12
56,303,5.19
56,313,5.22
56,323,5.13
56,333,5.11
56,343,5.13
56,353,5.1
56,363,5.12
56,370,5.09
61,153,5.41
61,163,5.43
61,173,5.4
61,183,5.4
61,193,5.39
61,203,5.42
61,213,5.41
61,223,5.38
61,233,5.42
61,243,5.41
61,253,5.39
61,263,5.44
61,273,5.41
61,283,5.46
61,293,5.43
61,303,5.39
61,313,5.42
61,323,5.41
61,333,5.45
61,343,5.43
61,353,5.41
61,363,5.42
61,370,5.39
66,153,5.76
66,163,5.72
66,173,5.73
66,183,5.76
66,193,5.74
66,203,5.71
66,213,5.77
66,223,5.72
66,233,5.77
66,243,5.72
66,253,5.76
66,263,5.72
66,273,5.74
66,283,5.75
66,293,5.78
66,303,5.73
66,313,5.75
66,323,5.77
66,333,5.76
66,343,5.75
66,353,5.72
66,363,5.73
66,370,5.73
71,153,5.96
71,163,5.99
71,173,6.03
71,183,5.98
71,193,5.98
71,203,6.0
71,213,5.99
71,223,6.0
71,233,5.99
71,243,5.99
71,253,6.01
71,263,6.04
71,273,6.0
71,283,5.99
71,293,6.02
71,303,6.04
71,313,6.04
71,323,6.0
71,333,5.99
71,343,6.01
71,353,6.03
71,363,6.01
71,370,6.03
76,153,6.26
76,163,6.28
76,173,6.25
76,183,6.29
76,193,6.28
76,203,6.31
76,213,6.32
76,223,6.31
76,233,6.3
76,243,6.28
76,253,6.28
76,263,6.33
76,273,6.32
76,283,6.33
76,293,6.3
76,303,6.32
76,313,6.36
76,323,6.33
76,333,6.34
76,343,6.32
76,353,6.33
76,363,6.36
76,370,6.33
81,153,6.64
81,163,6.65
81,173,6.59
81,183,6.65
81,193,6.65
81,203,6.65
81,213,6.66
81,223,6.63
81,233,6.64
81,243,6.63
81,253,6.62
81,263,6.65
81,273,6.71
81,283,6.7
81,293,6.67
81,303,6.67
81,313,6.66
81,323,6.69
81,333,6.66
81,343,6.68
81,353,6.69
81,363,6.66
81,370,6.66
86,153,6.94
86,163,6.95
86,173,6.95
86,183,6.99
86,193,6.96
86,203,7.0
86,213,6.99
86,223,6.97
86,233,6.99
86,243,6.94
86,253,7.02
86,263,6.99
86,273,6.98
86,283,7.02
86,293,6.99
86,303,6.97
86,313,6.94
86,323,6.98
86,333,6.99
86,343,6.96
86,353,7.0
86,363,6.96
86,370,6.95
91,153,7.27
91,163,7.28
91,173,7.27
91,183,7.25
91,193,7.24
91,203,7.24
91,213,7.23
91,223,7.27
91,233,7.29
91,243,7.28
91,253,7.29
91,263,7.29
91,273,7.33
91,283,7.28
91,293,7.28
91,303,7.27
91,313,7.27
91,323,7.26
91,333,7.3
91,343,7.32
91,353,7.29
91,363,7.25
91,370,7.29
96,153,7.51
96,163,7.53
96,173,7.51
96,183,7.52
96,193,7.56
96,203,7.52
96,213,7.55
96,223,7.55
96,233,7.53
96,243,7.57
96,253,7.54
96,263,7.52
96,273,7.57
96,283,7.56
96,293,7.51
96,303,7.57
96,313,7.55
96,323,7.54
96,333,7.57
96,343,7.55
96,353,7.53
96,363,7.57
96,370,7.52
101,153,7.82
101,163,7.81
101,173,7.82
101,183,7.8
101,193,7.81
101,203,7.83
101,213,7.82
101,223,7.82
101,233,7.8
101,243,7.81
101,253,7.81
101,263,7.83
101,273,7.85
101,283,7.85
101,293,7.83
101,303,7.87
101,313,7.82
101,323,7.87
101,333,7.8
101,343,7.83
101,353,7.83
101,363,7.79
101,370,7.79
106,153,8.15
106,163,8.17
106,173,8.15
106,183,8.19
106,193,8.19
106,203,8.13
106,213,8.14
106,223,8.18
106,233,8.19
106,243,8.16
106,253,8.16
106,263,8.16
106,273,8.16
106,283,8.17
106,293,8.18
106,303,8.16
106,313,8.17
106,323,8.15
106,333,8.17
106,343,8.19
106,353,8.17
106,363,8.16
106,370,8.16
111,153,8.46
111,163,8.46
111,173,8.46
111,183,8.46
111,193,8.47
111,203,8.45
111,213,8.47
111,223,8.45
111,233,8.46
111,243,8.47
111,253,8.45
111,263,8.49
111,273,8.46
111,283,8.52
111,293,8.48
111,303,8.46
111,313,8.44
111,323,8.46
111,333,8.49
111,343,8.5
111,353,8.47
111,363,8.47
111,370,8.47
116,153,8.77
116,163,8.77
116,173,8.75
116,183,8.73
116,193,8.79
116,203,8.75
116,213,8.74
116,223,8.78
116,233,8.79
116,243,8.78
116,253,8.75
116,263,8.77
116,273,8.82
116,283,8.77
116,293,8.77
116,303,8.79
116,313,8.76
116,323,8.78
116,333,8.79
116,343,8.79
116,353,8.79
116,363,8.78
116,370,8.76
121,153,9.05
121,163,9.03
121,173,9.11
121,183,9.1
121,193,9.08
121,203,9.05
121,213,9.07
121,223,9.06
121,233,9.08
121,243,9.08
121,253,9.12
121,263,9.08
121,273,9.09
121,283,9.06
121,293,9.11
121,303,9.09
121,313,9.1
121,323,9.09
121,333,9.1
121,343,9.1
121,353,9.1
121,363,9.09
121,370,9.08
126,153,9.34
126,163,9.36
126,173,9.35
126,183,9.38
126,193,9.39
126,203,9.36
126,213,9.36
126,223,9.38
126,233,9.42
126,243,9.43
126,253,9.34
126,263,9.38
126,273,9.37
126,283,9.38
126,293,9.39
126,303,9.37
126,313,9.38
126,323,9.37
126,333,9.39
126,343,9.38
126,353,9.38
126,363,9.37
126,370,9.37
131,153,9.68
131,163,9.67
131,173,9.66
131,183,9.66
131,193,9.69
131,203,9.68
131,213,9.7
131,223,9.68
131,233,9.66
131,243,9.68
131,253,9.69
131,263,9.71
131,273,9.73
131,283,9.74
131,293,9.65
131,303,9.67
131,313,9.72
131,323,9.7
